CNT;TEMP;PRES;resitance
12455;11,59;1247,89;3673
12456;11,60;1248,22;3653
12457;11,60;1248,49;3671
12458;11,60;1248,49;3664
12459;11,60;1248,35;3696
12460;11,60;1248,22;3678
12461;11,60;1248,35;3647
12462;11,60;1248,62;3669
12463;11,60;1248,49;3687
12464;11,60;1248,35;3655
12465;11,59;1248,30;3713
12466;11,59;1248,16;3662
12467;11,59;1248,70;3639
12468;11,60;1248,76;3673
12469;11,59;1248,43;3683
12470;11,60;1248,22;3696
12471;11,59;1248,43;3666
12472;11,60;1248,62;3683
12473;11,60;1248,35;3676
12474;11,60;1248,49;3678
12475;11,60;1248,89;3662
12476;11,60;1249,03;3668
12477;11,59;1248,43;3677
12478;11,60;1248,35;3696
12479;11,60;1248,76;3628
12480;11,60;1249,30;3663
12481;11,60;1248,62;3707
12482;11,60;1248,22;3693
12483;11,60;1248,49;3675
12484;11,60;1248,76;3668
12485;11,60;1248,62;3654
12486;11,60;1248,76;3663
12487;11,59;1249,25;3629
12488;11,59;1248,98;3700
12489;11,60;1248,08;3719
12490;11,60;1248,35;3641
12491;11,59;1249,11;3657
12492;11,60;1249,03;3669
12493;11,60;1248,76;3668
12494;11,60;1248,35;3703
12495;11,60;1248,62;3646
12496;11,59;1249,52;3623
12497;11,60;1249,16;3696
12498;11,60;1248,76;3665
12499;11,60;1249,16;3648
12500;11,60;1248,76;3722
12501;11,59;1248,43;3679
12502;11,59;1249,11;3631
12503;11,59;1249,52;3693
12504;11,60;1248,76;3696
12505;11,60;1248,76;3669
12506;11,60;1249,30;3654
12507;11,60;1249,30;3712
12508;11,60;1248,62;3692
12509;11,60;1249,03;3655
12510;11,60;1249,57;3669
12511;11,60;1249,30;3676
12512;11,60;1248,76;3696
12513;11,60;1249,16;3658
12514;11,59;1249,52;3662
12515;11,60;1249,57;3674
12516;11,60;1249,71;3638
12517;11,60;1249,30;3681
12518;11,59;1248,84;3706
12519;11,60;1248,89;3674
12520;11,60;1249,30;3669
12521;11,60;1249,30;3671
12522;11,60;1249,57;3646
12523;11,60;1249,57;3611
12524;11,60;1249,44;3692
12525;11,60;1249,30;3649
12526;11,60;1249,98;3623
12527;11,59;1250,06;3671
12528;11,60;1249,16;3705
12529;11,60;1249,16;3624
12530;11,60;1249,71;3649
12531;11,60;1249,71;3650
12532;11,60;1249,71;3617
12533;11,60;1249,84;3659
12534;11,59;1250,06;3614
12535;11,59;1249,79;3691
12536;11,59;1249,38;3682
12537;11,60;1249,84;3635
12538;11,60;1250,11;3696
12539;11,60;1249,84;3682
12540;11,59;1249,79;3664
12541;11,59;1249,79;3696
12542;11,60;1249,71;3687
12543;11,60;1250,38;3616
12544;11,60;1250,66;3702
12545;11,59;1249,92;3683
12546;11,59;1249,79;3679
12547;11,60;1249,98;3694
12548;11,59;1249,79;3702
12549;11,60;1250,25;3611
12550;11,60;1250,66;3693
12551;11,60;1249,57;3701
12552;11,60;1249,71;3593
12553;11,60;1250,93;3610
12554;11,60;1250,52;3675
12555;11,60;1250,11;3632
12556;11,60;1250,25;3698
12557;11,60;1250,11;3673
12558;11,60;1249,98;3709
12559;11,60;1250,11;3657
12560;11,60;1250,52;3646
12561;11,59;1250,60;3654
12562;11,59;1250,06;3715
12563;11,60;1249,98;3691
12564;11,60;1250,66;3643
12565;11,60;1250,52;3719
12566;11,60;1249,98;3702
12567;11,60;1250,11;3709
12568;11,60;1250,38;3677
12569;11,60;1250,66;3676
12570;11,60;1250,52;3698
12571;11,60;1250,25;3677
12572;11,60;1250,66;3669
12573;11,60;1250,11;3696
12574;11,60;1249,98;3681
12575;11,60;1250,52;3638
12576;11,59;1250,74;3694
12577;11,60;1250,66;3641
12578;11,60;1250,66;3680
12579;11,60;1250,25;3699
12580;11,60;1250,79;3604
12581;11,60;1251,06;3708
12582;11,60;1250,25;3671
12583;11,60;1250,52;3653
12584;11,60;1250,25;3688
12585;11,60;1250,38;3663
12586;11,60;1250,93;3632
12587;11,60;1251,06;3655
12588;11,60;1250,38;3663
12589;11,60;1250,52;3639
12590;11,60;1250,79;3667
12591;11,60;1250,52;3679
12592;11,60;1250,66;3624
12593;11,60;1251,06;3698
12594;11,60;1250,25;3673
12595;11,60;1250,52;3658
12596;11,60;1251,06;3632
12597;11,59;1251,28;3685
12598;11,62;1250,71;3687
